API,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,GOR_30,GOR_60,GOR_90
05123374210000,4226,922.7794,602.8447,1252.380331289943,1287.419078075033,1379.7850501147198
05123381640000,4136,852.0862,752.0038,3970.168612191958,4068.172428040214,4081.346285938573
05123383110000,4059,1021.7360000000001,582.8188,2887.625190969275,2783.848935315387,3128.220627125047
05123383510000,7907,890.7471,856.5363,3162.361883313392,3251.1713030746696,3390.06619118477
05123397610000,8715,780.0773,751.6135,961.536311287527,888.291130327014,925.8756558556
05123386630000,4255,959.1675,682.1555,2658.476658476658,2834.205933682373,2932.5254750757363
05123399130000,4159,738.4916,501.2802,1433.2715477293789,1389.09952606635,1361.352146683769
05123388410000,4262,974.9094,666.7344,1796.1933276304528,1546.6387268505398,1604.2310538458191
05001100020000,9904,,,1384.773266628182,698.615066010872,698.615066010872
05005072490000,6300,1013.8760000000001,1132.954,1363.204810380294,1424.858023689761,1607.073426050545
05123356100000,4144,,585.3038,2265.908609365068,2095.503952569169,2053.036155747836
05123375730000,4539,537.8745,942.2292,18780.212014134275,20165.92292089249,21329.061102831598
05123376560000,5381,1181.156,743.1826,2246.786950074147,2413.20589621054,2536.638983878847
05001099950000,9949,,,1348.7626618797278,1348.7626618797278,1348.7626618797278
05123364330000,3859,1438.235,523.0474,3003.497813866333,3024.7923071891137,3161.3765296075762
05123369830000,6430,1239.985,683.3779,2041.701244813278,2089.529590288315,1916.595650079662
05123370430000,4144,1316.129,736.1755,5843.543186831834,6544.769546922399,6393.647418433117
05123374870000,3724,1156.298,898.6349,2587.031700288184,2677.258661031021,2938.3399209486156
05123374230000,4182,828.0219999999999,593.6813,1060.768961084492,1358.360237255049,1430.8339092375022
05123368930000,6465,1268.013,829.1225,2538.972248041428,2640.8031183349262,2483.940834653988
05123367510000,4010,,,3144.494616186175,3328.2270781707593,2942.06726536362
05123365450100,6567,2497.084,1669.898,2495.603299791496,2408.259698530454,2928.659135559921
05123376810000,4589,543.1719,824.0833,1898.193327179216,1961.3920222040351,2122.225387862933
05123365260000,6617,450.0539,594.3469,2199.907378820623,2018.4148616857299,2018.9052539019558
05123363840200,6751,618.0532,,2207.407407407407,2145.960125918153,2121.521942110177
05123350610000,4105,1178.628,807.1788,1976.423416198877,1935.7406647517428,1900.922722029988
05123375130000,4090,615.3673,1043.963,2942.4433717044176,2698.9341085271312,2547.812328013208
05123374840000,3900,755.6603,558.9772,558.7905935050389,685.192745086604,757.248790018205
05123374330000,3823,737.5334,600.8387,575.08369201339,655.452377327853,731.8969963893179
05123378300000,4042,1417.145,790.7669999999999,2274.2434834714873,2340.643198153297,2539.511411859158
05123373300000,4000,1107.358,827.5448,2091.7827298050133,2118.696778970751,2273.999455485978
05123373000000,4153,479.2211,38.636390000000006,2441.141260973663,2361.581348200709,2382.825962090752
05123372470000,4089,588.3193,909.9426,2397.911938266,2501.508183751174,2580.67896060352
05123371240000,3946,936.0184,616.3469,1991.0172064777319,2286.022625781482,2403.654666812561
05123367410000,341,1107.1589999999999,1080.458,2368.385345997286,2857.150534744988,4036.10357845483
05123366560000,9228,719.1285,548.5219999999999,2138.256912845642,1521.4504058184878,1134.823783947922
05123366450000,4208,,,1294.007840209072,1332.900292302695,1434.5247385671921
05123364820000,4290,870.0384,610.072,2190.346083788706,1985.6130869787478,2018.398914518317
05001100080000,7493,,,890.608512135068,737.30230780257,607.974469091052
05123376750000,6012,1245.978,1122.901,4035.0605826243873,4150.4329004329,4317.008431352139
05123377680000,4137,535.0669,842.6111,4215.625,4049.7225778915913,4348.121286937736
05123382940000,6990,1000.248,670.1418,3120.3223624887282,3236.0126083530326,3308.997495898454
05123382000000,7169,1033.452,773.6184,2684.594251901944,2874.4081439393926,2906.018639491333
05123381920000,7235,850.0866,775.0761,2147.056467761313,2098.28765736955,2068.739029500028
05123381860000,6703,1149.0,980.4489,2686.684593168011,2688.222414583227,2854.841648748132
05123381530000,4113,979.8448,734.2556,5805.060535981499,5827.620128641695,6436.694905419519
05123381520000,4173,974.6184,746.6464,4588.942621879492,4391.603530965454,4652.211934156378
05123381470000,3576,970.4349,819.3829,5572.7402043191505,5669.010473888522,6257.6018678081045
05123381160000,3963,1066.779,814.8552,7525.882517092228,7605.765391679311,7672.274325908558
05123380600000,7331,779.9945,779.9946,1783.182765809589,1182.177506288178,1484.074404382723
05123380300000,4899,511.0623,807.9275,3319.583056110002,3256.1408812636982,4730.557025168166
05123380050000,7125,725.8851,182.3492,3389.129152742284,3509.956563434309,3827.647106044794
05123380020000,6948,1285.035,808.9489,3187.3782970437237,3145.909374165405,3291.92285288978
05123379720000,3769,1186.618,1277.1889999999999,2104.3286867204692,2242.924333690898,2406.681277024225
05123379090000,7975,,,3232.652072057516,3368.3736875937434,3447.4669404021492
05123389210000,4260,1307.819,582.1664,2026.917647058823,2096.370143149284,2201.211905186241
05123378280000,3660,828.6699,784.5355,1964.5776566757488,1102.558874503007,1963.604852686308
05123377940000,3775,669.2445,438.1602,2243.551010922612,2086.6417280077217,1960.937839836443
05123377710000,4144,689.9730000000001,1072.739,4031.8606098319847,4261.058288548987,4493.253603189205
05123376670000,3798,450.8595,779.0742,3097.911227154046,2902.551857931651,2999.169909208819
05123370410000,4338,1261.704,518.9813,2931.533903884134,3133.1374436394954,3330.477038355961
05123392960000,9279,,,2289.944213989414,2241.583074958964,2378.345498783454
05123367430000,4566,801.7139999999999,1035.463,2247.971810210603,2247.771079222212,2196.7436730903178
05123393200000,4104,973.1353,768.1238,2868.036983265836,2582.222222222222,2523.04964539007
05123365560000,4118,340.8893,441.0983,12842.896174863388,11921.747681933128,12595.188284518828
05123361500000,6185,,,2737.271984753607,2563.681056998002,2662.4818623430688
05123359790000,4012,955.8291,762.056,4006.1509785647713,4161.956692706967,4408.530463070806
05069064800000,5296,840.2472,1155.423,1576.7639257294422,1779.5266130001198,1767.750413293205
05001099750000,4839,,,1068.413391557496,1068.413391557496,1068.413391557496
05001099840000,9393,,,1298.644597940831,1298.644597940831,1298.644597940831
05069064930000,9453,1523.315,818.1360000000001,2336.608764494947,2346.542842289333,2261.580470045184
05123367920000,4015,1310.107,1288.537,3844.386212457165,3910.577796782297,4282.34317561959
05001099960000,9812,,,2111.645482652009,1233.459805548968,1170.388704505822
05005072550100,6807,,,1827.4973018347519,1916.2937867553048,1943.546654572362
05005072710100,7000,,,1210.591613200524,1326.921423658872,1542.377287853577
05069064900000,9441,1515.632,889.1138,2176.751446148195,2170.05334325766,2243.922348014337
05069064950000,6811,2765.52,1231.347,2301.553628252324,2411.827597728032,2550.804093567251
05123374990000,4089,1053.802,613.7204,2780.1014916192516,2783.686213289101,2398.597626752966
05123377140000,4109,940.5369,589.0145,3166.0592616067183,3383.985254966209,3430.565469109366
05123379980000,6934,1257.29,446.4263,4321.911078359125,4623.622047244095,4790.133957048692
05123376620000,4097,79.2944,1138.646,3335.924932975871,2898.553080799869,2329.459097004917
05001100980000,5234,,,1676.0035827701322,920.568898430162,665.2553329023909
05123374620000,3914,1600.1960000000001,788.3662,1132.716304437649,1205.859780596812,1319.339049308498
